id,name,artist,raw_json
jd-qI62gNJM,Wicked Game - Single Edit - Official Music Video,Chris Isaak,"{""id"": ""jd-qI62gNJM"", ""title"": ""Wicked Game - Single Edit - Official Music Video"", ""uploader"": ""Chris Isaak"", ""duration"": 246, ""view_count"": 66660631, ""url"": ""https://www.youtube.com/watch?v=jd-qI62gNJM""}"
ozv8ugNm0P0,Chris Isaak - Wicked Game (Live),Radial by The Orchard,"{""id"": ""ozv8ugNm0P0"", ""title"": ""Chris Isaak - Wicked Game (Live)"", ""uploader"": ""Radial by The Orchard"", ""duration"": 288, ""view_count"": 200741160, ""url"": ""https://www.youtube.com/watch?v=ozv8ugNm0P0""}"
yIQui6Y9Ho4,Chris Isaak - Wicked Game (Lyrics),PHANTOM RECORDS,"{""id"": ""yIQui6Y9Ho4"", ""title"": ""Chris Isaak - Wicked Game (Lyrics)"", ""uploader"": ""PHANTOM RECORDS"", ""duration"": 289, ""view_count"": 5776220, ""url"": ""https://www.youtube.com/watch?v=yIQui6Y9Ho4""}"
DqaRPOEuFjQ,Chris Isaak - Wicked Game (1989) Original Video,ClassicVideos80s,"{""id"": ""DqaRPOEuFjQ"", ""title"": ""Chris Isaak - Wicked Game (1989) Original Video"", ""uploader"": ""ClassicVideos80s"", ""duration"": 229, ""view_count"": 638588, ""url"": ""https://www.youtube.com/watch?v=DqaRPOEuFjQ""}"
XjhjAdy6-U0,Chris Isaak - Wicked Game | Lyrics,Rock Overdrive,"{""id"": ""XjhjAdy6-U0"", ""title"": ""Chris Isaak - Wicked Game | Lyrics"", ""uploader"": ""Rock Overdrive"", ""duration"": 286, ""view_count"": 1346887, ""url"": ""https://www.youtube.com/watch?v=XjhjAdy6-U0""}"
