Input Title,Input Artist,Spotify Track ID,Popularity,Match Method
When the World is Running Down,BossArt Ensemble,5aC4ToGzIkqORbtMjH08Va,53,exact
Nobody,Gorgon City,1pJwEPkqfgtmV68vYQ7RyD,53,exact
Innerbloom,Weir,5G6hjIhDxtw1pf7nTLUFXs,53,exact
High Noon,Kruder,49nkSqM70kMPYVJJII3Ghr,52,fuzzy
Sail Away,Mome,4pEEaVhg7B1JJks7HmBNQI,52,exact
Black Is The Color Of My True Love's Hair - Jaffa Remix,Nina Simone,5ituU6SebgZBAkS0YnbVre,52,exact
"Oh, Lover",Royksopp,2gJqvIPF8NCBmZ9Ivlj3XV,52,exact
Possibly Maybe,Bjork,1tuyf2jFaU9kFevnSiMzGh,51,exact
Joga,Bjork,20ZvzoDSefcZo6bj10jgGC,51,exact
Grand Finale,DMX,1VB1t9yQJFzSTGZLaQhAKZ,51,exact
Meet Me,Mickey Valen,1DBra8wN9Gh9emkHot3FXk,51,exact
The Hop,Radio Citizen,3P4RbM5CudO7b2ZthhJ9vZ,51,exact
Poor Leno,Royksopp,6EUs3FH5StArwbc07i3OYG,51,exact
By Your Side,Vandelux,5q6J3UCzFpN03jjqCFtVGv,51,exact
You'll Be on My Mind,waykap,1LXWrgkgIbo3GKlFZHoCgX,51,exact
The Rain Song,Indigo Strings,6b6cEsbzak2jubAC2896zx,50,fuzzy
Homebase,dZihan,4e9wcQjrY8PJPDvUg2Kt0W,50,fuzzy
Me and nature,Lesfm,4ucC1eKHsK2Oatrsh0ZQZP,50,exact
Waiting All Night,Rudimental,0g4qRoQ3Bh6puFzBA7fH3S,49,fuzzy
Miss You,Trentemoller,5FE9EjOf2QaIEN74PxSJM7,49,exact
Jazz Music,Dephazz,0Z3dPRfc1RAzYjTO7nQttj,49,exact
Sparks,Royksopp,0NFau842hXdPQxJLyA19Dc,49,exact
In Space,Royksopp,2cSUXR0BEkEA97sYtQWTeA,49,exact
Hoppipolla,SIGUR ROS,0yQPpUq5BJyqah5m2Q5Stt,49,exact
Teardrop on Roads (Mashup + Free DL),Massive Attack,36G7q9VtOVEYhuALFcO04W,48,fuzzy
Hidden Place,Bjork,5bnX0zhTVV1H5gNVjVhgaL,48,exact
Eyesdown,Bonobo,0XiHcuUEf1wmvmX1cOaVR9,48,exact
Walk In The Sky,Bonobo,3fsQsL36PH1G8mn68lsFRK,48,exact
Higher,Lemaitre,2jIMtd2GaUesi6u3hO2Anb,48,exact
Marula,Robby East,3XoKt6xyXoBXMTjLVRYVIw,48,exact
Nothing Matters,Tricky,5BTnKWIOWXNbP2eLmnP2lK,48,exact
All About You,The Knocks,4ZoymV0HhQLCQImPs7mq76,47,fuzzy
Haul (Radio Edit),Christian Loffler,3sAatKUX1OkCIAkopdMRTU,47,exact
TESSELLATE,BAYNK,7cD5QLy657vZnf4fAtK622,47,exact
Cosmic Sans,Cory Wong,594a2gJwaid7KGIn9QhYJL,47,exact
Feel Good Inc,Paris Blu,2vsk7eAvKrpJUyNiDV4L4t,47,exact
Brazilian Soul,The Knocks,6rKq8Ri90B3UGEiWuN9e2I,46,fuzzy
Шелкопряд,Flеur,0aR6RRxgL33k0nvJp5YOhF,46,exact
If You Stayed Over,Bonobo,1yGTwR9AcrzQ67JGnwO3jZ,46,exact
Шелкопряд,Fleur,0aR6RRxgL33k0nvJp5YOhF,46,exact
Follow,Klangkarussell,2HO3EcW7L41i5eK9BniaWq,46,exact
All I Want,Sarah Blasko,0FcWutmFaffgmSchemHj4h,46,exact
Don't Look Back,Telepopmusik,6T1DyqY15fNj7F5FK4r5VR,46,exact
Pretty Girl with a Crooked Smile,Dj T-Rock,7bDLeeevde7pL8lHtub5Fc,45,exact
little mystery,Fred again,3xQRTND9hFZJyA4Bvp4GBW,45,exact
Stay Awhile,Royksopp,4wCZOU5q8Xlir3MBux8WzO,45,exact
Latin cha cha,Stephane Pompougnac,37YCVHpMZszKy75pMyZTBj,45,exact
Voices,Blundetto,3IBjaHSmegvBCCKTYfRtNF,44,exact
Take Me Into Your Skin,Trentemoller,45b6CK69TpYsaaRz8XLNpM,43,exact
Play Dead,BJORK,571ehsfce4PG7twZJiCo0K,43,exact
Ralome,Plaid,5CBtcSv8jmVWI9j37qCzZz,43,exact
Samba De Um Minuto,Roberta Sa,3HLUpp7deS78Y3LE7xRbpw,43,exact
Be There,UNKLE,3klBgzmhhPqKrUXEGG4eHN,43,exact
Acemezni Katıncıgı Canolmez,Saska,2L7to4clNPJZDuY7D3T1Ol,42,fuzzy
Monument (The Inevitable End Version),Royksopp,616ddBwW0LpyhCpLE5BpIP,42,exact
Stepping Stone,Lemaitre,6qsjIsKDkpnb8Z1UxozO8O,42,exact
I Want You,MADONNA,7GzOtoJsiimil1RKK4zSo9,42,exact
Vai (Menina Amanha De Manha),Tom Ze,6A7bFw2HCDcINCCQc8YrMb,42,exact
The Moon,Glen Hansard,6nuMBIXdGs2wL3mp49Ndf6,41,fuzzy
Original Bedroom Rockers,Kruder,348kpkfbJUZn7GBpOEvPh4,41,fuzzy
Inhale / Exhale (with Sabrina Claudio),Austin Millz,4jhznF9z7jv08LIAtSZTnu,41,exact
Sympathique,Hotel Costes,7kh6CGuWbRp8rLDcQIjAqd,41,exact
Band on the Run,Paul McCartney,0wqM8Flc5YaWwZoFBMz3zk,41,exact
A Higher Place,Royksopp,5cizzFuC0UwD2S5doRGnEi,41,exact
Love Is Stronger Than Death,The The,5zOJ9QpCIPujTaZI1GV1n0,41,exact
