patch_id,target_file,match_column,match_value,target_column,old_value,new_value,source_patch_file,approval_basis,local_backup_path,local_applied_at
RECORDINGS-SCALAR-20260716-0020,SongDB_v2/recordings.csv,Recording ID,R3DB0152B243F,Title,Breakin´ Sushi,Breakin' Sushi,local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
RECORDINGS-SCALAR-20260716-0021,SongDB_v2/recordings.csv,Recording ID,R3DB0152B243F,Canonical Title,Breakin´ Sushi,Breakin' Sushi,local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
RECORDINGS-SCALAR-20260716-0022,SongDB_v2/recordings.csv,Recording ID,R416340AE8AB6,Title,When You Get Asked To Play Something  🎸  Do THIS 😲🔥,When You Get Asked To Play Something 🎸 Do THIS 😲🔥,local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
RECORDINGS-SCALAR-20260716-0023,SongDB_v2/recordings.csv,Recording ID,R416340AE8AB6,Canonical Title,When You Get Asked To Play Something  🎸  Do THIS 😲🔥,When You Get Asked To Play Something 🎸 Do THIS 😲🔥,local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
RECORDINGS-SCALAR-20260716-0024,SongDB_v2/recordings.csv,Recording ID,R531D8EB60C51,Album,"The Story of Musikladen, No. 3: 1981–1984","The Story of Musikladen, No. 3: 1981-1984",local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
RECORDINGS-SCALAR-20260716-0025,SongDB_v2/recordings.csv,Recording ID,R55C164D3451D,Artist,La Femme D´Argent,La Femme D'Argent,local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
RECORDINGS-SCALAR-20260716-0026,SongDB_v2/recordings.csv,Recording ID,R55C164D3451D,Covering Artist,La Femme D´Argent,La Femme D'Argent,local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
RECORDINGS-SCALAR-20260716-0027,SongDB_v2/recordings.csv,Recording ID,R5D5C40A9E174,Artist,"Uriel And His Instrumental Piano Pop Hit´s, Vol. 8","Uriel And His Instrumental Piano Pop Hit's, Vol. 8",local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
RECORDINGS-SCALAR-20260716-0028,SongDB_v2/recordings.csv,Recording ID,R6CC0E912B062,Album,"Artilleria Pesada,  Presenta:","Artilleria Pesada, Presenta:",local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
RECORDINGS-SCALAR-20260716-0029,SongDB_v2/recordings.csv,Recording ID,R706FA2B950DC,Artist,"Uriel And His Instrumental Piano Pop Hit´s, Vol. 9","Uriel And His Instrumental Piano Pop Hit's, Vol. 9",local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
RECORDINGS-SCALAR-20260716-0030,SongDB_v2/recordings.csv,Recording ID,R76A5B4950709,Title,"Chillout Lounge - Calm & Relaxing Background Music | Study, Work, Sleep, Meditation, Chill
    
      
        
        
          Live","Chillout Lounge - Calm & Relaxing Background Music | Study, Work, Sleep, Meditation, Chill Live",local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
RECORDINGS-SCALAR-20260716-0031,SongDB_v2/recordings.csv,Recording ID,R76A5B4950709,Canonical Title,"Chillout Lounge - Calm & Relaxing Background Music | Study, Work, Sleep, Meditation, Chill
    
      
        
        
          Live","Chillout Lounge - Calm & Relaxing Background Music | Study, Work, Sleep, Meditation, Chill Live",local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
RECORDINGS-SCALAR-20260716-0032,SongDB_v2/recordings.csv,Recording ID,R76A5B4950709,SecondHandSongs Search URL,https://www.google.com/search?q=site%3Asecondhandsongs.com+Chillout+Lounge+-+Calm+%26+Relaxing+Background+Music+%7C+Study%2C+Work%2C+Sleep%2C+Meditation%2C+Chill%0A++++%0A++++++%0A++++++++%0A++++++++%0A++++++++++Live+The+Good+Life+Radio+x+Sensual+Musique,https://www.google.com/search?q=site%3Asecondhandsongs.com+Chillout+Lounge+-+Calm+%26+Relaxing+Background+Music+%7C+Study%2C+Work%2C+Sleep%2C+Meditation%2C+Chill%0D%0A++++%0D%0A++++++%0D%0A++++++++%0D%0A++++++++%0D%0A++++++++++Live+The+Good+Life+Radio+x+Sensual+Musique,local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
RECORDINGS-SCALAR-20260716-0033,SongDB_v2/recordings.csv,Recording ID,R76A5B4950709,WhoSampled Search URL,https://www.google.com/search?q=site%3Awhosampled.com+Chillout+Lounge+-+Calm+%26+Relaxing+Background+Music+%7C+Study%2C+Work%2C+Sleep%2C+Meditation%2C+Chill%0A++++%0A++++++%0A++++++++%0A++++++++%0A++++++++++Live+The+Good+Life+Radio+x+Sensual+Musique,https://www.google.com/search?q=site%3Awhosampled.com+Chillout+Lounge+-+Calm+%26+Relaxing+Background+Music+%7C+Study%2C+Work%2C+Sleep%2C+Meditation%2C+Chill%0D%0A++++%0D%0A++++++%0D%0A++++++++%0D%0A++++++++%0D%0A++++++++++Live+The+Good+Life+Radio+x+Sensual+Musique,local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
RECORDINGS-SCALAR-20260716-0034,SongDB_v2/recordings.csv,Recording ID,R76A5B4950709,Ultimate Guitar Search URL,https://www.ultimate-guitar.com/search.php?search_type=title&value=Chillout+Lounge+-+Calm+%26+Relaxing+Background+Music+%7C+Study%2C+Work%2C+Sleep%2C+Meditation%2C+Chill%0A++++%0A++++++%0A++++++++%0A++++++++%0A++++++++++Live+The+Good+Life+Radio+x+Sensual+Musique,https://www.ultimate-guitar.com/search.php?search_type=title&value=Chillout+Lounge+-+Calm+%26+Relaxing+Background+Music+%7C+Study%2C+Work%2C+Sleep%2C+Meditation%2C+Chill%0D%0A++++%0D%0A++++++%0D%0A++++++++%0D%0A++++++++%0D%0A++++++++++Live+The+Good+Life+Radio+x+Sensual+Musique,local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
RECORDINGS-SCALAR-20260716-0035,SongDB_v2/recordings.csv,Recording ID,R801DCA572936,Artist,µ-Ziq DJ-Kicks: Special Request,μ-Ziq DJ-Kicks: Special Request,local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
RECORDINGS-SCALAR-20260716-0036,SongDB_v2/recordings.csv,Recording ID,R910781BDA431,Artist,"Uriel And His Instrumental Piano Pop Hit´s, Vol. 7","Uriel And His Instrumental Piano Pop Hit's, Vol. 7",local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
RECORDINGS-SCALAR-20260716-0037,SongDB_v2/recordings.csv,Recording ID,RA2066FC7DC6C,Artist,Slowthai feat Kamaal Williams & Grace Acladna  - Glory Box (Portishead) in the 1Xtra Live Lounge,Slowthai feat Kamaal Williams & Grace Acladna - Glory Box (Portishead) in the 1Xtra Live Lounge,local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
RECORDINGS-SCALAR-20260716-0038,SongDB_v2/recordings.csv,Recording ID,RA2066FC7DC6C,Covering Artist,Slowthai feat Kamaal Williams & Grace Acladna  - Glory Box (Portishead) in the 1Xtra Live Lounge,Slowthai feat Kamaal Williams & Grace Acladna - Glory Box (Portishead) in the 1Xtra Live Lounge,local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
RECORDINGS-SCALAR-20260716-0039,SongDB_v2/recordings.csv,Recording ID,RAF111DC34DC1,Artist,La Femme D´Argent & 3:03,La Femme D'Argent & 3:03,local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
RECORDINGS-SCALAR-20260716-0040,SongDB_v2/recordings.csv,Recording ID,RAF111DC34DC1,Covering Artist,La Femme D´Argent & 3:03,La Femme D'Argent & 3:03,local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
RECORDINGS-SCALAR-20260716-0041,SongDB_v2/recordings.csv,Recording ID,RAF14F6E55826,Artist,𝕭𝖔𝖝𝖔𝖋𝖘𝖈𝖗𝖊𝖆𝖒𝖘.𝗳𝗺,Boxofscreams.fm,local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
