patch_id,target_file,match_column,match_value,target_column,old_value,new_value,source_patch_file,approval_basis,local_backup_path,local_applied_at
SONGS-SCALAR-20260716-0020,SongDB_v2/songs.csv,Song ID,S9885AFC4AD8E,Canonical Title,Breakin´ Sushi,Breakin' Sushi,local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
SONGS-SCALAR-20260716-0021,SongDB_v2/songs.csv,Song ID,SA24A4B9C68EC,Canonical Title,Billy Idol -  Rebel Yell (Live In New York),Billy Idol - Rebel Yell (Live In New York),local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
SONGS-SCALAR-20260716-0022,SongDB_v2/songs.csv,Song ID,SA466E4E53772,Preferred Primary Release,La Femme D´Argent,La Femme D'Argent,local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
SONGS-SCALAR-20260716-0023,SongDB_v2/songs.csv,Song ID,SB345405724C7,Preferred Primary Release,Erotic Lounge²,Erotic Lounge2,local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
SONGS-SCALAR-20260716-0024,SongDB_v2/songs.csv,Song ID,SBB9C48957219,Preferred Primary Release,freedom bossa～避暑地で聞きたいリゾートボッサ～,freedom bossa~避暑地で聞きたいリゾートボッサ~,local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
SONGS-SCALAR-20260716-0025,SongDB_v2/songs.csv,Song ID,SBE00FBF03079,Canonical Title,Goody Two Shoes (Chris Huges  Single Version),Goody Two Shoes (Chris Huges Single Version),local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
SONGS-SCALAR-20260716-0026,SongDB_v2/songs.csv,Song ID,SBF7CBBEBCA59,Canonical Title,THE WHITE STRIPER  - SEVEN NATION ARMY (DJ BigGrand Edit 2022) #thewinterstriper #remix #editmix,THE WHITE STRIPER - SEVEN NATION ARMY (DJ BigGrand Edit 2022) #thewinterstriper #remix #editmix,local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
SONGS-SCALAR-20260716-0027,SongDB_v2/songs.csv,Song ID,SDA78A830A3A9,Canonical Title,TRIONALE    - Roxanne   (Police Cover),TRIONALE - Roxanne (Police Cover),local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
SONGS-SCALAR-20260716-0028,SongDB_v2/songs.csv,Song ID,SDF9CD9F2D261,Canonical Title,I Think It´S,I Think It'S,local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
SONGS-SCALAR-20260716-0029,SongDB_v2/songs.csv,Song ID,SED54D6682DD7,Canonical Title,Billy Idol -  Rebel Yell (Live In New York),Billy Idol - Rebel Yell (Live In New York),local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
SONGS-SCALAR-20260716-0030,SongDB_v2/songs.csv,Song ID,SEEB0A2274CA8,Canonical Artist,Billy Idol -  Rebel Yell (Live In New York),Billy Idol - Rebel Yell (Live In New York),local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
SONGS-SCALAR-20260716-0031,SongDB_v2/songs.csv,Song ID,SF14E076E886B,Canonical Artist,"Uriel And His Instrumental Piano Pop Hit´s, Vol. 9","Uriel And His Instrumental Piano Pop Hit's, Vol. 9",local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
SONGS-SCALAR-20260716-0032,SongDB_v2/songs.csv,Song ID,SF35C72413148,Genre Family,"Trip-Hop ""
40 Winks","Trip-Hop "" 40 Winks",local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
SONGS-SCALAR-20260716-0033,SongDB_v2/songs.csv,Song ID,SFC42C1645999,Canonical Artist,La Femme D´Argent feat. 3:03,La Femme D'Argent feat. 3:03,local generated CSV diff against PR branch HEAD,Existing-row scalar cleanup extracted from local generated database changes; excludes added/removed ID churn,,2026-07-16
