key,canonical_count,legacy_count,legacy_sample
livin on a prayer | hailey green,2,2,Livin' on a Prayer / Hailey Green
these boots are made for walkin | haley reinhart,2,2,These Boots Are Made for Walkin / Haley Reinhart
you want love | half a person,2,2,You Want Love (Pleasure Club acoustic cover) / Half a Person
truth | handsome boy modeling school,3,3,The Truth / Handsome Boy Modeling School
counting stars | hannah trigwell,2,2,Counting Stars / Hannah Trigwell
dont speak | hannah trigwell,2,2,Don't Speak / Hannah Trigwell
latch | hannah trigwell,3,3,Latch / Hannah Trigwell
pompeii | hannah trigwell,2,2,Pompeii / Hannah Trigwell
royals | hannah trigwell,3,3,Royals (feat. Ebony Day) / Hannah Trigwell
scientist | hannah trigwell,2,2,The Scientist / Hannah Trigwell
too close | hannah trigwell,2,2,Too Close / Hannah Trigwell
torn | hannah trigwell,2,2,Torn (feat. Alex Goot) / Hannah Trigwell
torn | hannah trigwell and alex goot,2,2,Torn / Hannah Trigwell & Alex Goot
royals | hannah trigwell and ebony day,2,2,Royals / Hannah Trigwell & Ebony Day
drive incubus cover hayley legg | hayley legg,2,2,Drive - Incubus Cover - Hayley Legg / Hayley Legg
roads portishead cover | hayley richman,2,2,Roads - Portishead Cover / Hayley Richman
teardrop | hayley williams,2,2,Teardrop / Hayley Williams
blue monday | health,2,2,Blue Monday / HEALTH
dont stop believin | heather nova,2,2,Don't Stop Believin / Heather Nova
fragile | heather nova,2,2,Fragile / Heather Nova
im on fire | heather nova,3,3,I'm on Fire / Heather Nova
never gonna give you up | heather nova,2,2,Never Gonna Give You Up / Heather Nova
stayin alive | heather nova,2,2,Stayin' Alive / Heather Nova
wicked game | heather nova,2,2,Wicked Game / Heather Nova
mad about you | hellfire society,2,2,Mad About You / Hellfire Society
died in your arms | hidden citizens,3,3,(I Just) Died In Your Arms (Epic Trailer Version) / Hidden Citizens
paint it black | hidden citizens,4,4,Paint It Black / Hidden Citizens
lost hours this must be place | high tribe,2,2,The Lost Hours - This Must Be The Place (Talking Heads Cover) / High Tribe
send me an angel | highly suspect,2,2,Send Me an Angel / Highly Suspect
2 wicky | hooverphonic,3,3,2 Wicky / Hooverphonic
eden | hooverphonic,4,4,Eden / Hooverphonic
mad about you | hooverphonic,3,3,Mad About You / Hooverphonic
no one is to blame | howard jones,2,2,No One Is to Blame / Howard Jones
what is love | howard jones,2,2,What Is Love? / Howard Jones
do i wanna know | hozier,4,4,Do I Wanna Know? / Hozier
daydream in blue | i monster,2,2,Daydream In Blue / I Monster
hey jude | imaginary future,3,3,Hey Jude (feat. Kina Grannis) / Imaginary Future
this must be place | imaginary future,2,2,This Must Be the Place (Naive Melody) / Imaginary Future
what a wonderful world | imaginary future,2,2,What a Wonderful World / Imaginary Future
radioactive | imagine dragons,2,2,Radioactive / Imagine Dragons
drive | incubus,2,2,Drive / Incubus
careless whisper | indiana,2,2,Careless Whisper / Indiana
into dust | indigo raven,3,3,Into Dust / Indigo Raven
elegantly wasted | inxs,2,2,Elegantly Wasted / INXS
need you tonight | inxs,2,2,Need You Tonight / INXS
time after time | iron and wine,2,2,Time After Time / Iron & Wine
its my life | ituana,2,2,It's My Life / Ituana
edge of ocean | ivy,5,5,Edge of the Ocean / Ivy
mazzy star into dust cover | ivy rose,2,2,Mazzy Star - Into Dust cover / Ivy Rose
crazy | j2,3,3,Crazy (feat. StarGzrLily) / J2
careless whisper | jackie murray,2,2,Careless Whisper / Jackie Murray
where is my mind | jada facer,3,3,Where Is My Mind? / Jada Facer
american dream | jakatta,3,3,American Dream / Jakatta
black betty | jam in van,2,2,"Black Betty (Live Session, Los Angeles, CA, 2017) / Jam in the Van"
delirians give a little bit jaminthevan | jam in van,2,2,"THE DELIRIANS - ""Give A Little Bit"" (Live at JITVHQ in Los Angeles, CA 2018) #JAMINTHEVAN / Jam In The Van"
supermans song | james olson,2,2,Superman's Song / James Olson
higher love | james vincent mcmorrow,2,2,Higher Love / James Vincent McMorrow
wicked game | james vincent mcmorrow,3,3,Wicked Game / James Vincent McMorrow
i try | jasmine thompson,2,2,I Try / Jasmine Thompson
mad world | jasmine thompson,2,2,Mad World / Jasmine Thompson
carnivale theme | jeff beal,2,1,Carnivàle Theme / Jeff Beal
kip winger | jeff stinco,2,2,Kip Winger / Jeff Stinco
i go to sleep | jem,2,2,I Go to Sleep / Jem
running up that hill | jem,2,2,Running Up That Hill / Jem
torn | jennel garcia,2,2,Torn / Jennel Garcia
dreams | jenny and tyler,3,3,Dreams (feat. Jj Heller) / Jenny & Tyler
i still havent found what im looking for | jenny and tyler,3,3,I Still Haven't Found What I'm Looking for (feat. Sara Groves) / Jenny & Tyler
scientist | jenny and tyler,2,2,The Scientist / Jenny & Tyler
tonight tonight | jenny and tyler,3,3,"Tonight, Tonight (feat. Levi Weaver) / Jenny & Tyler"
are you gonna be my girl | jet,2,2,Are You Gonna Be My Girl / Jet
locomotive breath | jethro tull,2,2,Locomotive Breath / Jethro Tull
total eclipse of heart | jill andrews,2,2,Total Eclipse of the Heart / Jill Andrews
i love rock n roll | joan jett,2,2,I love rock n roll / Joan Jett
wild world | joanna wang,3,3,Wild World / Joanna Wang
bohemian rhapsody | john adams,3,3,Bohemian Rhapsody / John Adams
come together | john lennon,2,2,Come Together / John Lennon
jose gonzalez | john mellencamp,2,1,José González / John Mellencamp
folsom prison blues | johnny cash,2,2,Folsom Prison Blues / Johnny Cash
get rhythm | johnny cash,2,2,Get Rhythm / Johnny Cash
ring of fire | johnny cash,2,2,Ring of Fire / Johnny Cash
into dust mazzy star | jordinlaine,2,2,Into Dust - Mazzy Star (JordinLaine Acoustic Cover) / JordinLaine
high and dry | jorge drexler,2,2,High and Dry / Jorge Drexler
dont dream its over | josh franklin,2,2,Don't Dream It's Over / Josh Franklin
feliz navidad | jose feliciano,2,1,Feliz Navidad / José Feliciano
hand on your heart | jose gonzalez,2,1,Hand On Your Heart / JOSÉ GONZÁLEZ
heartbeats | jose gonzalez,2,1,Heartbeats / JOSÉ GONZÁLEZ
dont stop believin | journey,2,2,Don't Stop Believin / Journey
enjoy silence | joy williams,3,3,Enjoy the Silence / Joy Williams
dancing in moonlight | jubel,4,4,Dancing In The Moonlight (feat. NEIMY) / Jubel
breaking law | judas priest,2,2,Breaking the Law / Judas Priest
youve got another thing comin | judas priest,1,2,You've Got Another Thing Comin / Judas Priest
ahead over heels | judith alegarbes,2,2,AHead Over Heels / Judith Alegarbes
missing you | judith alegarbes,2,2,Missing You / Judith Alegarbes
no one is to blame | jules larson,2,2,No One Is to Blame / Jules Larson
conga fury | juno reactor,2,2,Conga Fury / Juno Reactor
tulien tuli | jaaportit,2,1,Tulien tuli / Jääportit
not an addict | ks choice,2,2,Not an Addict / K's Choice
smells like teen spirit | kairo,2,2,Smells Like Teen Spirit (Cinematic Cover) / Kairo
carry on wayward son | kansas,2,2,Carry On Wayward Son / Kansas
get lucky | karen souza,2,2,Get Lucky / Karen Souza
yellow | karizma duo,2,2,Yellow / Karizma Duo
underdog | kasabian,2,2,Underdog / Kasabian
running up that hill | kate bush,2,2,Running Up That Hill / Kate Bush
just like heaven | katie melua,2,2,Just Like Heaven / Katie Melua
running up that hill | kawehi,2,2,Running Up That Hill / Kawehi
reaper | keep shelly in athens,2,2,(Don't Fear) the Reaper / Keep Shelly in Athens
needle and damage done | kelley suttenfield,2,2,The Needle and the Damage Done / Kelley Suttenfield
linger | kiesa keller,2,2,Linger / Kiesa Keller
running up that hill | kim petras,2,2,Running Up That Hill / Kim Petras
cant help falling in love | kina grannis,2,2,Can't Help Falling in Love / Kina Grannis
cannonball | kina grannis,2,2,Cannonball / Kina Grannis
chandelier | kina grannis,2,2,Chandelier / Kina Grannis
creep | kina grannis,2,2,Creep / Kina Grannis
fields of gold | kina grannis,2,2,Fields of Gold / Kina Grannis
firework | kina grannis,2,2,Firework / Kina Grannis
gangstas paradise | kina grannis,2,2,Gangsta's Paradise / Kina Grannis
iris | kina grannis,2,2,Iris / Kina Grannis
kiss me | kina grannis,2,2,Kiss Me / Kina Grannis
oops i did it again | kina grannis,2,2,Oops!... I Did It Again / Kina Grannis
rolling in deep | kina grannis,2,2,Rolling in the Deep / Kina Grannis
royals | kina grannis,2,2,Royals (feat. Fresh Big Mouf) / Kina Grannis
say something | kina grannis,2,2,Say Something / Kina Grannis
stressed out | kina grannis,2,2,Stressed Out / Kina Grannis
middle | kina grannis,2,2,The Middle / Kina Grannis
use somebody | kina grannis,2,2,Use Somebody / Kina Grannis
yellow | kina grannis,2,2,Yellow / Kina Grannis
send her my love | kip winger,2,2,Send Her My Love / Kip Winger
spirit of radio | kip winger and friends,2,2,Spirit of the Radio / Kip Winger & friends
this must be place | kishi bashi,2,2,This Must Be the Place (Naive Melody) / Kishi Bashi
detroit rock city | kiss,2,2,Detroit Rock City / KISS
died in your arms | komodo,3,3,(I Just) Died In Your Arms (Original Extended Mix) / Komodo
run 2 you | komodo,2,2,Run 2 You (feat. Courtney Drummey) / Komodo
run to you | komodo,2,2,Run to You / Komodo
send me an angel | komodo,2,2,Send me an Angel / Komodo
la femme dargent a veces no da | la femme d argent,2,2,La Femme D'Argent - A veces no da (versión acústica ) / La Femme D´Argent
bad romance | lady gaga,4,4,Bad Romance / Lady Gaga
wouldnt it be good | lady socket,2,2,Wouldn't It Be Good? (Chill Mix) / Lady Socket
gabriel | lamb,2,2,Gabriel / Lamb
gorecki | lamb,2,2,Gorecki / Lamb
run | lane 8 and kasablanca run,3,3,Run / Lane 8 & Kasablanca Run
run | lane 8 kasablanca,3,3,"Run / Lane 8, Kasablanca"
black dog | led zeppelin,2,2,Black Dog / Led Zeppelin
steal my sunshine | len,2,2,Steal My Sunshine / Len
black hole sun | lena hall,2,2,Black Hole Sun / Lena Hall
fell on black days | lena hall,2,2,Fell on Black Days / Lena Hall
glory box | lena hall,2,2,Glory Box / Lena Hall
in your eyes | lena hall,2,2,In Your Eyes / Lena Hall
sledgehammer | lena hall,2,2,Sledgehammer / Lena Hall
somebody | lena hall,2,2,Somebody / Lena Hall
sunshower | lena hall,2,2,Sunshower / Lena Hall
glory box | lena hall and justin craig,2,2,Glory Box / Lena Hall & Justin Craig
kashmir | les friction,2,2,Kashmir / Les Friction
all star jam | less than face productions,2,2,"All Star Jam ft. Sierra Hull on Collective Soul's ""Shine"" Grey Fox 2023 / Less Than Face Productions"
something about you | level 42,4,4,Something About You / Level 42
forever young | lily kershaw,2,2,Forever Young / Lily Kershaw
dont change | limp bizkit,2,2,Don't Change / Limp Bizkit
funkytown | lipps inc,2,2,Funkytown (Single Version) / Lipps Inc.
stay | lisa loeb,2,2,Stay / Lisa Loeb
dreams | lissie,3,3,Dreams / Lissie
go your own way | lissie,2,2,Go Your Own Way / Lissie
moon | little people,2,2,Moon / Little People
start shootin | little people,2,2,Start Shootin / Little People
cool change | little river band,2,2,Cool Change / Little River Band
dance hall days | lizette,2,2,Dance Hall Days / Lizette
dance hall days | lizette and bossart ensemble,2,2,Dance Hall Days / Lizette & BossArt Ensemble
big log | local h,2,2,Big Log / Local H
brandy | local h,2,2,Brandy (You're a Fine Girl) / Local H
dreaming | local h,2,2,Dreaming / Local H
hackensack | local h,2,2,Hackensack / Local H
here comes rain again | local h,2,2,Here Comes the Rain Again / Local H
strangers | local h,2,2,Strangers / Local H
ugly sunday | local h,2,2,Ugly Sunday / Local H
when doves cry | local h,5,5,When Doves Cry / Local H
when doves cry | local h and local hs awesome quarantine mix tape 3,2,2,When Doves Cry (Acoustic) / Local H & Local H's Awesome Quarantine Mix-Tape #3
wouldnt it be good | lost luggage,2,2,Wouldn't It Be Good / Lost Luggage
6 underground | lost souls,2,2,6 underground / Lost souls
sex | lovage,2,2,Sex (I'm A) / Lovage
stroker ace | lovage,2,2,Stroker Ace / Lovage
ashes to ashes | lovers and poets,2,2,Ashes to Ashes / Lovers & Poets
somebody that i used to know | lovinc,2,2,Somebody That I Used to Know / LoVinc
one | luciana zogbi and gianfranco casanova,2,2,One / Luciana Zogbi & Gianfranco Casanova
wicked game | lusaint,2,2,Wicked Game / Lusaint
unchained melody | lykke li,2,2,Unchained Melody / Lykke Li
radioactive | macy kate,3,3,Radioactive / Macy Kate
royals | macy kate,2,2,Royals (feat. April Lockhart) / Macy Kate
royals | madilyn bailey,2,2,Royals / Madilyn Bailey
royals | madilyn bailey and megan nicole,2,2,Royals / Madilyn Bailey & Megan Nicole
crazy for you | madonna,2,2,Crazy for You / Madonna
needle and damage done | marcy playground,3,3,The Needle and the Damage Done / Marcy Playground
rain song | maria cueto,2,2,The Rain Song / Maria Cueto
beautiful people | marilyn manson,2,2,The Beautiful People / Marilyn Manson
toy soldiers | martika,2,2,Toy Soldiers / Martika
life in mono | masqa srx4wvjqjwl,2,2,Life in Mono / Masqa$$$_Srx4WVJqJWL
angel | massive attack,10,10,Angel / Massive Attack
antistar | massive attack,2,2,Antistar / Massive Attack
black milk | massive attack,2,2,Black Milk / Massive Attack
butterfly caught | massive attack,4,4,Butterfly Caught / Massive Attack
dissolved girl | massive attack,2,2,Dissolved Girl / Massive Attack
karmacoma | massive attack,2,2,Karmacoma / Massive Attack
mezzanine | massive attack,2,2,Mezzanine / Massive Attack
paradise circus | massive attack,2,2,Paradise Circus / Massive Attack
protection | massive attack,4,4,Protection / Massive Attack
safe from harm | massive attack,3,3,Safe From Harm / Massive Attack
teardrop | massive attack,2,2,Teardrop / Massive Attack
angel | massive attack and singles collection,2,2,Angel (Blur Remix) (feat. Horace Andy) / Massive Attack & Singles Collection
safe from harm | massive attack shara nelson,2,2,"Safe From Harm (2012 Mix/Master) / Massive Attack, Shara Nelson"
3 a m | matchbox twenty,2,2,3 A.M. / Matchbox Twenty
mad about you | matt forbes,2,2,Mad About You / Matt Forbes
do i wanna know | max tanner,2,2,Do I Wanna Know? / Max Tanner
mayonaise | mayonaise smashing pumpkins,2,2,Mayonaise / Mayonaise - Smashing Pumpkins (acoustic cover)
fade into you | mazzy universe,2,2,Fade Into You / Mazzy Universe
beachy head | mechanical me,2,2,Beachy Head / Mechanical Me
call me acoustic | megan nicole,2,2,Call Me - Acoustic / Megan Nicole
linger acoustic | megan nicole,2,2,Linger - Acoustic / Megan Nicole
just cant get enough | megan wyler,2,2,Just Can't Get Enough / Megan Wyler
have yourself a merry little christmas | mel torme,2,1,Have Yourself a Merry Little Christmas (Voice) / Mel Tormé
christmas song | mel torme,2,1,The Christmas Song (Chestnuts Roasting On an Open Fire) / Mel Tormé
black sheep | metric,2,2,Black Sheep / Metric
help im alive | metric,1,2,Help I'm Alive / Metric
under milky way | metric,2,2,Under the Milky Way / Metric
wouldnt it be good | michael monroe,2,2,Wouldn't It Be Good / Michael Monroe
yellow | michael schulte,3,3,Yellow / Michael Schulte
boogie woogie bugle boy | michelle creber,2,2,Boogie Woogie Bugle Boy / Michelle Creber
thriller | michelle creber,2,2,Thriller / Michelle Creber
wanted dead or alive | michelle creber,2,2,Wanted Dead or Alive / Michelle Creber
thriller | michelle creber and black gryph0n,2,2,Thriller / Michelle Creber & Black Gryph0n
man who sold world | midge ure,2,2,The Man Who Sold the World / Midge Ure
into dust | mike haysom,2,2,Into Dust / Mike Haysom
wanted dead or alive | mike masse,3,3,Wanted Dead or Alive / Mike Masse
1 crush | mikes dead,2,2,#1 Crush / Mike's Dead
angel | mikka,3,3,Angel (Regravacao) / Mikka
this must be place | miles fisher,2,2,This Must Be the Place / Miles Fisher
no one is to blame | mindy smith,2,2,No One Is to Blame / Mindy Smith
n w o | ministry,2,2,N.W.O. / Ministry
daft punk get lucky | miracles of modern science,2,2,Daft Punk - Get Lucky (Miracles of Modern Science cover) / Miracles of Modern Science
miry mad about you rock cover | miry,3,3,MIRY - Mad About You (Hooverphonic) Rock Cover / Miry
1 crush | miss krystle,2,2,#1 Crush / Miss Krystle
6 underground | miss krystle,2,2,6 Underground / Miss Krystle
walking in l a | missing persons,2,2,Walking in L.A. / Missing Persons
extreme ways | moby,2,2,Extreme Ways / Moby
sing it back | moloko,2,2,Sing It Back / Moloko
time is now | moloko,2,2,The Time Is Now / Moloko
life in mono | mono,12,12,Life in Mono / Mono
life in mono | mono and life in mono,3,3,Life in Mono (Alice Band Mix) / Mono & Life In Mono
world looking in | morcheeba,2,2,World Looking In / Morcheeba
video killed radio star | morgan harper jones,3,3,Video Killed the Radio Star / Morgan Harper-Jones
sledgehammer by peter gabriel | morgan james,2,2,Sledgehammer by Peter Gabriel (Morgan James cover) / Morgan James
as rush comes | motorcycle,6,6,As the Rush Comes / Motorcycle
we have a map of piano | mum,2,2,We Have A Map Of The Piano / Mum
avalon | murray head,2,2,Avalon / Murray Head
beds are burning | murray head,2,2,Beds Are Burning / Murray Head
games people play | murray head,2,2,Games People Play / Murray Head
missing | murray head,2,2,Missing / Murray Head
how deep is your love | music travel love,2,2,How Deep Is Your Love / Music Travel Love
roads | my dying bride,2,2,Roads / My Dying Bride
send me an angel | mythos n dj cosmo,2,2,Send Me an Angel (Radio Edit) / Mythos 'N DJ Cosmo
kickstart my heart skid row | motley crue,2,1,Kickstart My Heart Skid Row / Mötley Crüe
live wire | motley crue,2,1,Live Wire / Mötley Crüe
looks that kill | motley crue,2,1,Looks That Kill / Mötley Crüe
mr brownstone | motley crue,2,1,Mr. Brownstone / Mötley Crüe
my ever changing moods | motley crue,2,1,My Ever Changing Moods / Mötley Crüe
too young to fall in love | motley crue,2,1,Too Young to Fall in Love / Mötley Crüe
careless whisper | nataly dawn,2,2,Careless Whisper / Nataly Dawn
edelweiss | nataly dawn,2,2,Edelweiss / Nataly Dawn
stayin alive | nataly dawn,2,2,Stayin' Alive / Nataly Dawn
rebel yell | nervous nature,2,2,Rebel Yell / Nervous Nature
bizarre love triangle | new order,3,3,Bizarre Love Triangle / New Order
blue monday | new order,2,2,Blue Monday / New Order
blue oyster cult | new order,2,1,Blue Öyster Cult / New Order
true faith | new order,2,2,True Faith / New Order
wouldnt it be good | nik kershaw,2,2,Wouldn't It Be Good / Nik Kershaw
closer | nine inch nails,2,2,Closer / Nine Inch Nails
down in it | nine inch nails,3,3,Down in It / Nine Inch Nails
dont speak | no doubt,2,2,Don't Speak / No Doubt
pieces of you | nothing nowhere,2,2,"Pieces of You / nothing,nowhere."
swiss army romance | nothing nowhere,3,3,"Swiss Army Romance / nothing,nowhere."
bizarre love triangle | nouvelle vague,3,3,Bizarre Love Triangle / Nouvelle Vague
dancing with myself | nouvelle vague,3,3,Dancing with Myself / Nouvelle Vague
heart of glass | nouvelle vague,2,2,Heart of Glass / Nouvelle Vague
i melt with you | nouvelle vague,3,3,I Melt with You / Nouvelle Vague
just cant get enough | nouvelle vague,3,3,Just Can't Get Enough / Nouvelle Vague
making plans for nigel | nouvelle vague,3,3,Making Plans for Nigel / Nouvelle Vague
master and servant | nouvelle vague,3,3,Master and Servant / Nouvelle Vague
champagne supernova | oasis,2,2,Champagne Supernova / Oasis
dont look back in anger | oasis,2,2,Don't Look Back in Anger / Oasis
say my name | odesza,2,2,Say My Name (feat. Zyra) / ODESZA
last goodbye | odesza,2,2,The Last Goodbye (feat. Bettye LaVette) / ODESZA
glory box | olivia colman,2,2,Glory Box / Olivia Colman
every breath you take | olivia penalva,3,3,Every Breath You Take (feat. Windmills) / Olivia Penalva
how bizarre | omc,2,2,How Bizarre / OMC
mary leay owner of a lonely heart ont sofa gibson sessions | ont sofa,2,2,Mary Leay - Owner Of A Lonely Heart (Yes Cover) - Ont' Sofa Gibson Sessions / Ont' Sofa
blue monday | orgy,4,4,Blue Monday / Orgy
owel time to pretend | owel,2,2,OWEL - Time to Pretend (MGMT Cover) / OWEL
erase and rewind | ozgur ozkan,2,2,Erase and Rewind / Ozgur Ozkan
never tear us apart | paloma faith,2,2,Never Tear Us Apart / Paloma Faith
yellow | parachutes,2,2,Yellow / Parachutes
sleepyhead | passion pit,3,3,Sleepyhead / Passion Pit
sierra hull mad world delfest cumberland md 5 28 22 | paste magazine,2,2,"Sierra Hull - Mad World (Tears For Fears) - DelFest - Cumberland, MD - 5/28/22 / Paste Magazine"
smells like teen spirit | patti smith,2,2,Smells Like Teen Spirit / Patti Smith
another one bites dust | paul jockey,2,2,Another One Bites The Dust / Paul Jockey
another one bites dust | paul jockey and dannie mercury,2,2,Another One Bites the Dust / Paul Jockey & Dannie Mercury
ready steady go | paul oakenfold,3,3,Ready Steady Go / Paul Oakenfold
lose yourself | paul young,2,2,Lose Yourself / Paul Young
black | pearl jam,2,2,Black / Pearl Jam
sunny mornings | peder b helland,2,2,Sunny Mornings / Peder B. Helland
trust me | peder b helland,2,2,Trust Me / Peder B. Helland
little miss cypher | pepe deluxe,2,1,Little Miss Cypher / Pepe Deluxé
lying peacefully | pepe deluxe,2,1,Lying Peacefully / Pepe Deluxé
opportunities | pet shop boys,2,2,Opportunities (Let's Make Lots of Money) [2001 Remaster] / Pet Shop Boys
dont dream its over | pete palazzolo,2,2,Don't Dream It's Over / Pete Palazzolo
head over heels | pete palazzolo,2,2,Head Over Heels / Pete Palazzolo
digging in dirt | peter gabriel,3,3,Digging In the Dirt / Peter Gabriel
dont give up | peter gabriel,4,4,Don't Give Up / Peter Gabriel
when im small | phantogram,3,3,When I'm Small / Phantogram
easy lover | phil collins,2,2,Easy Lover / Phil Collins
driving me mad | phil kominski,2,2,Driving Me Mad / Phil Kominski
fake plastic trees | phoebe bridgers and arlo parks,2,2,Fake Plastic Trees / Phoebe Bridgers & Arlo Parks
electrical storm | pineo and loeb,2,2,Electrical Storm / PINEO & LOEB feat. Christina Rotondo
use somebody | pixie lott,2,2,Use Somebody / Pixie Lott
here comes your man | pixies,2,2,Here Comes Your Man / Pixies
where is my mind | placebo,2,2,Where Is My Mind? / Placebo
stories | play game,2,2,stories / Play the Game
another one bites dust | pomplamoose,2,2,Another One Bites the Dust / Pomplamoose
everybody wants to rule world | pomplamoose,2,2,Everybody Wants to Rule the World / Pomplamoose
harder better faster stronger | pomplamoose,2,2,"Harder, Better, Faster, Stronger / Pomplamoose"
im still standing | pomplamoose,2,2,I'm Still Standing / Pomplamoose
lisztomania | pomplamoose,2,2,Lisztomania / Pomplamoose
lovefool | pomplamoose,2,2,Lovefool / Pomplamoose
mr blue sky | pomplamoose,2,2,Mr. Blue Sky / Pomplamoose
glory box | portishead,3,3,Glory Box / Portishead
plastic | portishead,3,3,Plastic / Portishead
roads | portishead,3,3,Roads / Portishead
sour times | portishead,3,3,Sour Times / Portishead
feel it still | portugal man,2,2,Feel It Still / Portugal. The Man
do i wanna know | postcards,2,2,Do I Wanna Know (Acoustic) / Postcards
mr blue sky | postmodern jukebox,3,3,Mr. Blue Sky / Postmodern Jukebox
spybreak | propellerheads,2,2,Spybreak! / Propellerheads
funky town | pseudo echo,2,2,Funky Town / Pseudo Echo
send me an angel | pseudo echo,2,2,Send Me an Angel / Pseudo Echo
under pressure | queen,2,2,Under Pressure / Queen
drive | r e m,2,2,Drive / R.E.M.
its end of world as we know it | r e m,2,2,It's the End of the World as We Know It / R.E.M.
creep | radiohead,3,3,Creep / Radiohead
fake plastic trees | radiohead,2,2,Fake Plastic Trees / Radiohead
spellbound | rae and christian,2,2,Spellbound (feat. Veba) / Rae & Christian
du hast | rammstein,3,3,Du hast / Rammstein
no 1 crush | random parade,2,2,No. 1 Crush / Random Parade
nouvelle vague | rarities,2,2,Nouvelle Vague / Rarities
wanted dead or alive | ravn,2,2,Wanted Dead or Alive / RAVN
into dust mazzy star my autumn | rebecca need menear,2,2,Into Dust - Mazzy Star (Cover) | my autumn / Rebecca Need-Menear
somewhere only we know | rhianne,2,2,Somewhere Only We Know / rhianne
6 underground | riccoste,2,2,6 Underground (feat. I-EM) / Riccoste
affair of heart | rick springfield,2,2,Affair of the Heart / Rick Springfield
you make my dreams | riley pearce and gabrielle aplin,2,2,You Make My Dreams (Come True) / Riley Pearce & Gabrielle Aplin
machine pour les oreilles | rinocerose,2,1,Machine pour les oreilles / Rinôçérôse
a beautiful mine | rjd2,2,2,A Beautiful Mine / RJD2
big log | robert plant,3,3,Big Log / Robert Plant
o pedido | roberta sa,2,1,O Pedido / Roberta Sá
samba de um minuto | roberta sa,2,1,Samba De Um Minuto / Roberta Sá
wouldnt it be good | roby,2,2,Wouldn't It Be Good / Roby
lose yourself | robyn adele anderson,3,3,Lose Yourself / Robyn Adele Anderson
paint it black | robyn adele anderson,2,2,"Paint It, Black / Robyn Adele Anderson"
take me out | robyn adele anderson,2,2,Take Me Out / Robyn Adele Anderson
in between days | rogue wave,2,2,In Between Days / Rogue Wave
let my love open door | rogue wave,2,2,Let My Love Open the Door / Rogue Wave
talking in your sleep | rogue wave,2,2,Talking in Your Sleep / Rogue Wave
thats all | rogue wave,2,2,That's All / Rogue Wave
under milky way | rogue wave,2,2,Under the Milky Way / Rogue Wave
spirit of radio | rush,2,2,Spirit of Radio / Rush
wonderwall | ryan adams,2,2,Wonderwall / Ryan Adams
under pressure | ryan fine,2,2,Under Pressure / Ryan Fine
a higher place | royksopp,2,1,A Higher Place / Röyksopp
in space | royksopp,2,1,In Space / Röyksopp
monument | royksopp,2,1,Monument (The Inevitable End Version) (feat. Robyn) / Röyksopp
oh lover | royksopp,2,1,"Oh, Lover (feat. Susanne Sundfør) / Röyksopp"
only this moment | royksopp,2,1,Only This Moment / Röyksopp
poor leno | royksopp,2,1,Poor Leno / Röyksopp
remind me radio edit | royksopp,2,1,Remind Me - Radio Edit / Röyksopp
running to sea | royksopp,2,1,Running To The Sea (feat. Susanne Sundfør) / Röyksopp
so easy | royksopp,2,1,So Easy / Röyksopp
sparks | royksopp,2,1,Sparks / Röyksopp
stay awhile | royksopp,2,1,Stay Awhile (feat. Susanne Sundfør) / Röyksopp
tristesse globale | royksopp,2,1,Tristesse Globale / Röyksopp
sundream | rufus du sol,2,1,Sundream / RÜFÜS DU SOL
underwater | rufus du sol,2,2,Underwater / RÜFÜS DU SOL
left hand free | safia,3,3,Left Hand Free / SAFIA
same ol situation | saliva,2,2,Same Ol' Situation / Saliva
get lucky | san cisco,3,3,Get Lucky / San Cisco
goodbye yellow brick road | sara bareilles,3,3,Goodbye Yellow Brick Road / Sara Bareilles
change deftones cover | sarah jane,2,2,Change (In the House of Flies) - Deftones Cover / Sarah Jane
i still havent found what im looking for | sarah jarosz,2,2,I Still Haven't Found What I'm Looking For / Sarah Jarosz
clocks | sarah menescal,2,2,Clocks / Sarah Menescal
dont speak | sarah menescal,2,2,Don't Speak / Sarah Menescal
like a prayer | sarah menescal,2,2,Like a Prayer / Sarah Menescal
oh lamour | sarah menescal,2,2,Oh L'amour / Sarah Menescal
acemezni katncg canolmez | saska,2,1,Açemezni Katıncıgı Canölmez / Saska
huraskerten suriskere | saska,2,1,Huraskerten Şuriskere / Saska
stayin alive | say lou lou,2,2,Stayin' Alive / Say Lou Lou
under milky way | say lou lou,2,2,Under the Milky Way / Say Lou Lou
back in black | scary pockets,6,6,Back in Black / Scary Pockets
crazy | scary pockets,3,3,Crazy (feat. Dannielle DeAndrea) / Scary Pockets
dreams | scary pockets,3,3,Dreams (feat. Elise Trouw) / Scary Pockets
i will survive | scary pockets,3,3,I Will Survive (feat. Mario Jose) / Scary Pockets
seven nation army | scary pockets,3,3,Seven Nation Army (feat. Elise Trouw) / Scary Pockets
wild world | scary pockets,3,3,Wild World (feat. Rett Madison) / Scary Pockets
careless whisper | scary pockets,4,4,Careless Whisper / Scary Pockets (ft. Elise Trouw)
stayin alive | scary pockets,4,4,Stayin' Alive / Scary Pockets (ft. Lizzy McAlpine)
wind of change | scorpions,2,2,Wind of Change / Scorpions
this must be place | scott bradlees postmodern jukebox,2,2,This Must Be The Place (feat. Sara Niemietz) / Scott Bradlee's Postmodern Jukebox
viva la vida | scubba,2,2,Viva La Vida (Bossa Version) / Scubba
crazy | seal,2,2,Crazy / Seal
