Source,Comparison Key,CSV Line,Title,Base Title,Artist,Album,Duration,Genre,Year,Original Artist,Cover Song,Orig Artist,Covering Artist,Source Files,Playlists,Original Data,Energy,BPM,Vibe,Discogs Verified,Spotify Verified,MusicBrainz Verified,iTunes Verified,Spotify ID,Spotify Track ID,Spotify Popularity,Spotify ISRC,Spotify Album,Spotify Release Date,Spotify Duration (ms),Spotify MusicBrainz ID,Spotify BPM,Spotify Key Full,Spotify Energy Level,Spotify Danceability,Spotify Genre,Spotify LastFM Tags,Spotify Vibe,Alternate Albums,Duplicate Merge Notes
active_only,edge of ocean || ivy || edge of ocean || 4:59,3730,Edge of the Ocean (Alpha's 'On the Beach' Mix),Edge of the Ocean (Alpha's 'On the Beach' Mix),Ivy,Edge of the Ocean (Playlist: Mixre),4:59,Mixre,2018.0,,No,,,"music library songs.csv, YouTube and YouTube Music/music-library-songs/music-library-songs.csv, YouTube and YouTube Music\playlists\Mixre.csv",,Video ID: RSIv1HuOvk8 | Song Title: Edge of the Ocean (Alpha's 'On the Beach' Mix) | Album Title: Edge of the Ocean | Artist Name 1: Ivy ; Song URL: https://music.youtube.com/watch?v=RSIv1HuOvk8 | Song Title: Edge of the Ocean (Alpha's 'On the Beach' Mix) | Album Title: Edge of the Ocean | Artist Names: Ivy ; Playlist: Mixre | Video Id: RSIv1HuOvk8 | Time Added: 2018-09-27 01:04:25 UTC,,,,,,Yes,,,,,,,,,,,,,,,,,,
active_only,electric co || u2 || boy || 4:46,9325,The Electric Co,The Electric Co,U2,Boy (Deluxe Edition Remastered),4:46,,1980,,No,,,songtrash_song_inventory.md,,Title: The Electric Co | Artist: U2 | Source: songtrash_song_inventory.md,,,,,Yes,,,,29L2FzPckZk2Q0SF8oo7ik,32,,,,,cfc4e569-b6b0-47b6-80c3-66105755525e,,,,,,,,,
active_only,eminence front || who ||  || ,9344,Eminence Front,Eminence Front,The Who,,,,,,No,,,songtrash_song_inventory.md,NRG,Title: Eminence Front | Artist: V. Songs Like The Who | Source: songtrash_song_inventory.md,,,,,Yes,,,,,,,,,,,,,,,,,,,
active_only,fall into sleep instantly || silent rhythm || ultra relaxing music for sleep || 30:00,6857,Fall into Sleep Instantly,Fall into Sleep Instantly,Silent Rhythm,Ultra Relaxing Music for Sleep,30:00,New Age,2022.0,,No,,,"music library songs.csv, merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",,Video ID: dAUzQ0UgCYo | Song Title: Fall into Sleep Instantly | Album Title: Ultra Relaxing Music for Sleep | Artist Name 1: Silent Rhythm ; Title: Fall into Sleep Instantly | Original Artist Col: Silent Rhythm Ultra Relaxing Music for Sleep | Album Col: nan | Duration: 30:00,,,,,Yes,,,,,,,,,,,,,,,,,,,
active_only,giant ||  || soul mining || 9:34,9316,Giant,Giant,The The,Soul Mining,9:34,Rock,1983,,No,,,songtrash_song_inventory.md,,Title: Giant | Artist: The The | Source: songtrash_song_inventory.md,,,,,,,Yes,,,,,,,,,,,,,,,,,
active_only,glory box || ameritz || tribute glory box || 3:37,424,Glory Box,Glory Box,Ameritz,- Tribute Glory Box (A Tribute to Portishead),3:37,Karaoke,2013.0,,Yes,,Ameritz,"merged_playlist.csv, YTMusic\cover_songs_nominess.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",,Title: Glory Box | Original Artist Col: Ameritz - Tribute Glory Box (A Tribute to Portishead) | Album Col: nan | Duration: 3:37,,,,,Yes,,,7wnRINBjJ9KCYKjMqekIL5,,,,,,,,,,,,,,,,
active_only,harder better faster stronger || daft punk || discovery || 3:44,9104,Harder Better Faster Stronger,Harder Better Faster Stronger,Daft Punk,Discovery,3:44,Dance,2001,,No,,,songtrash_song_inventory.md,,Title: Harder Better Faster Stronger | Artist: Daft Punk | Source: songtrash_song_inventory.md,,,,,,,Yes,,5W3cjX2J3tjhG8zb6u0qHn,77,,,,,45d81201-fae5-4b2c-9aa9-f5c7c5a9b635,,,,,,"Electronic, Dance, House, Techno, Electronica",,,
active_only,heaven || emeli sande || live at royal albert hall || 4:11,2734,Heaven,Heaven,Emeli Sandé,Live at the Royal Albert Hall,4:11,Trip-Hop,2013.0,,No,,,"trip hop songhs long lis2t.txt, drive-download-20260627T091940Z-3-001\TRIP-HOP SONGS GOOD LIST.doc.docx, drive-download-20260627T091940Z-3-001\triphopsonghslonglist.txt.html",,"Emeli Sandé"", ""Heaven"", """"Trip-Hop ; Emeli Sandé,Heaven | 1 ; Emeli Sandé"",""Heaven",,,,,Yes,,,6jQ2ygUQeOcRTJhD1I3AuT,,,,,,,,,,,,,,,,
active_only,help im alive || metric ||  || ,9152,Help I'm Alive,Help I'm Alive,Metric,,,,,,No,,,songtrash_song_inventory.md,,Title: Help I'm Alive | Artist: II. Songs Like Metric | Source: songtrash_song_inventory.md,,,,,Yes,,,,,,,,,,,,,,,,,,,
active_only,how soon is now || t a t u || 200 km h in wrong lane || 3:16,9281,How Soon Is Now (cover),How Soon Is Now (cover),t.A.T.u,200 KM/H In The Wrong Lane (10th Anniversary Edition),3:16,Pop,2003,,No,,,songtrash_song_inventory.md,,Title: How Soon Is Now (cover) | Artist: t.A.T.u | Source: songtrash_song_inventory.md,,,,,,,Yes,,,,,,,,,,,,,,,,,
active_only,i love rock n roll || joan jett || i love rock n roll || 2:55,9158,I Love Rock 'n' Roll,I Love Rock 'n' Roll,Joan Jett,I Love Rock 'N' Roll (Expanded Edition),2:55,,1981,,No,,,songtrash_song_inventory.md,,Title: I Love Rock 'n' Roll | Artist: Joan Jett | Source: songtrash_song_inventory.md,,,,,Yes,,,,4jTqsgDaffdNH0BMBwhjFv,81,,,,,860f9100-9d23-4be3-bcd4-8bb8b15ac06b,,,,,,,,,
active_only,im losing you || 2 temptations ||  || ,9389,I'm Losing You,I'm Losing You,🎸 2. The Temptations,,,,,,No,,,songtrash_song_inventory.md,,Title: I'm Losing You | Artist: 🎸 2. The Temptations | Source: songtrash_song_inventory.md,,,,,,,,,,,,,,,,,,,,,,,,
active_only,lessening || gregor samsa || 55 12 || 6:36,3302,Lessening,Lessening,Gregor Samsa,55:12,6:36,Trip-Hop,2006.0,,No,,,"trip hop songhs long lis2t.txt, drive-download-20260627T091940Z-3-001\TRIP-HOP SONGS GOOD LIST.doc.docx, drive-download-20260627T091940Z-3-001\triphopsonghslonglist.txt.html",,"Gregor Samsa"", ""Lessening"", """"Trip-Hop ; Gregor Samsa,Lessening | 1 ; Gregor Samsa"",""Lessening",,,,Yes,,,,,1y4ufqF30XueQF83TCeDmH,10,,,,,47da6dd1-96e4-4b91-8eab-446b8660d208,103.8,G# Major,Medium,Not Danceable,Electronic,,Chill,,
active_only,limit to your love || 37 james blake ||  || ,9390,Limit to Your Love,Limit to Your Love,💥 37. James Blake,,,,,,No,,,songtrash_song_inventory.md,,Title: Limit to Your Love | Artist: 💥 37. James Blake | Source: songtrash_song_inventory.md,,,,,,,,,,,,,,,,,,,,,,,,
active_only,lips like sugar || echo and bunnymen || echo and bunnymen || 4:52,2583,Lips Like Sugar,Lips Like Sugar,Echo And The Bunnymen,Echo & The Bunnymen,4:52,New Wave,1987.0,,No,,,"merged_playlist.csv, YTMusic\11aaz.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",,Title: Lips Like Sugar | Original Artist Col: Echo And The Bunnymen Echo & The Bunnymen | Album Col: nan | Duration: 4:52,,,,Yes,,,,3Oa8vnNXStoOHLbJwwMEDP,,,,,,,,,,,,,,,,
active_only,love shack || b 52s || time capsule || 5:21,7543,Love Shack,Love Shack,The B 52's,Time Capsule,5:21,Pop,1989.0,,No,,,Book1.csv,,The B 52's - Love Shack,,,,,,,Yes,,,,,,,,,,,,,,,,,
active_only,mad about you hooverphonic || beatrice florea || singer || 3:44,1020,Mad About You - Hooverphonic (by Beatrice Florea),Mad About You - Hooverphonic (by Beatrice Florea),Beatrice Florea,- Singer,3:44,Cover,2012.0,,Yes,,Beatrice Florea,"organized_cover_song_list.xlsx, Dropbox\My PC (LAPTOP-FJVTUUIS)\Documents\cover noms early2.docx, merged_playlist.csv, YTMusic\cover_songs_nominess.csv",,Base Title: Mad About You - Hooverphonic (by Beatrice Florea) | Title: Mad About You - Hooverphonic (by Beatrice Florea) | Lead Artist / Channel: Beatrice Florea | Duration: 3:44 | Duration Seconds: 224 | Exact Duplicate?: No | Title Group Count: 1 | Needs Review: Yes | Review Notes: Missing album/source | Original Row: 179 | Raw Row: Mad About You - Hooverphonic (by Beatrice Florea) | Beatrice Florea | 3:44 ; Mad About You - Hooverphonic (by Beatrice Florea) | Beatrice Florea | 3:44 ; Title: Mad About You - Hooverphonic (by Beatrice Florea) | Original Artist Col: Beatrice Florea - Singer | Album Col: nan | Duration: 3:44,,,,,,,,,,,,,,,,,,,,,,,,
active_only,moments in love || art of noise || art of noise || 10:15,9077,Moments in Love,Moments in Love,Art of Noise,(Who's Afraid Of) The Art Of Noise? [Remastered],10:15,,1984,,No,,,songtrash_song_inventory.md,,Title: Moments in Love | Artist: Art of Noise | Source: songtrash_song_inventory.md,,,,,Yes,,,,0iAu1nA0Vq8zMVPpvlehyp,44,,,,,a6a9542d-9b73-4024-a305-294b12451bde,135.8,C# Minor,Low,Not Danceable,Electronic,,Chill,,
active_only,mr brownstone || motley crue || in concert || ,5442,Mr. Brownstone,Mr. Brownstone,Mötley Crüe,In Concert,,Rock,1993,,No,,,Book1.csv,,Mr. Brownstone,,,,Yes,,,,,,,,,,,,,,,,,,,,
active_only,n w o || ministry || ke a h || 5:30,9201,N.W.O,N.W.O,Ministry,KE*A*H** (Psalm 69),5:30,,1992,,No,,,songtrash_song_inventory.md,,Title: N.W.O | Artist: Ministry | Source: songtrash_song_inventory.md,,,,,Yes,,,,2D9LxUcR9zWxQtxiHsMA0n,55,,,,,a00c23da-a6d9-4c22-9e1c-06b00bb69226,,,,,,,,,
active_only,old school || urban cone || 10 18 || 3:03,8665,Old School,Old School,Urban Cone,10-18,3:03,Pop,2017.0,,No,,,"music library songs.csv, YouTube and YouTube Music/music-library-songs/music-library-songs.csv",,Video ID: -jH-4oYS2h8 | Song Title: Old School | Album Title: 10-18 | Artist Name 1: Urban Cone ; Song URL: https://music.youtube.com/watch?v=-jH-4oYS2h8 | Song Title: Old School | Album Title: 10-18 | Artist Names: Urban Cone,,,,,Yes,,,,,,,,,,,,,,,,,,,
active_only,only happy when it rains || garbage ||  || ,9150,Only Happy When It Rains,Only Happy When It Rains,Garbage,,,,,,No,,,songtrash_song_inventory.md,NRG,Title: Only Happy When It Rains | Artist: I. Songs Like Garbage | Source: songtrash_song_inventory.md,,,,,Yes,,,,,,,,,,,,,,,,,,,
active_only,opportunities || pet shop boys || please further listening 1984 1986 || 3:43,9237,Opportunities,Opportunities,Pet Shop Boys,Please: Further Listening 1984 - 1986 (2018 Remaster),3:43,,1986,,No,,,songtrash_song_inventory.md,,Title: Opportunities | Artist: Pet Shop Boys | Source: songtrash_song_inventory.md,,,,,Yes,,,,0apB2QDN7ZrE91yDmw5JsY,41,,,,,334a78cd-505f-483d-9c63-a7da79154bda,119.5,C Minor,High,Danceable,Electronic,,Intense,,
active_only,peaceful night soothing deep sleep music || personal power sleep serenity || peaceful nights || 30:01,5925,Peaceful Night Soothing Deep Sleep Music (Calming Healing Music),Peaceful Night Soothing Deep Sleep Music (Calming Healing Music),Personal Power Sleep Serenity,Peaceful Nights,30:01,New Age,2022.0,,No,,,"music library songs.csv, merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",,Video ID: zvFxdZ0NJC0 | Song Title: Peaceful Night Soothing Deep Sleep Music (Calming Healing Music) | Album Title: Peaceful Nights | Artist Name 1: Personal Power Sleep Serenity ; Title: Peaceful Night Soothing Deep Sleep Music (Calming Healing Music) | Original Artist Col: Personal Power Sleep Serenity Peaceful Nights | Album Col: nan | Duration: 30:01,,,,,Yes,,,,,,,,,,,,,,,,,,,
active_only,pictures of you || 15 cure ||  || ,9384,Pictures of You,Pictures of You,🌧️ 15. The Cure,,,,,,No,,,songtrash_song_inventory.md,,Title: Pictures of You | Artist: 🌧️ 15. The Cure | Source: songtrash_song_inventory.md,,,,,,,,,,,,,,,,,,,,,,,,
active_only,planet earth || peder b helland || flying || 31:20,5902,Planet Earth,Planet Earth,Peder B. Helland,Flying,31:20,New Age,2021.0,,No,,,"music library songs.csv, merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",,Video ID: cRrxIOTAEgc | Song Title: Planet Earth | Album Title: Flying | Artist Name 1: Peder B. Helland ; Title: Planet Earth | Original Artist Col: Peder B. Helland Flying | Album Col: nan | Duration: 31:20,,,,,Yes,,,,,,,,,,,,,,,,,,,
active_only,protection || massive attack || protection || 7:14,9188,Protection,Protection,Massive Attack ft. Tracey Thorn,Protection,7:14,,1995,,No,,,songtrash_song_inventory.md,,Title: Protection | Artist: Massive Attack ft. Tracey Thorn | Source: songtrash_song_inventory.md,,,,,Yes,,,,1YOiBv0RanS73XCM0j5Guu,12,,,,,14a390c8-c029-48db-bf94-d68e0ece07a1,,,,,,,,,
active_only,pumping up clouds || urban cone || 10 18 || 2:56,8666,Pumping Up Clouds,Pumping Up Clouds,Urban Cone,10-18,2:56,Pop,2018.0,,No,,,"music library songs.csv, YouTube and YouTube Music/music-library-songs/music-library-songs.csv",,Video ID: oB_0T4hPrwM | Song Title: Pumping Up Clouds | Album Title: 10-18 | Artist Name 1: Urban Cone ; Song URL: https://music.youtube.com/watch?v=oB_0T4hPrwM | Song Title: Pumping Up Clouds | Album Title: 10-18 | Artist Names: Urban Cone,,,,,Yes,,,,,,,,,,,,,,,,,,,
active_only,roam || b 52s || cosmic thing || 4:55,7549,Roam,Roam,The B-52's,Cosmic Thing (30th Anniversary Expanded Edition),4:55,Pop,1989.0,,No,,,"music library songs.csv, merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",,Video ID: pE6vnv_vVpY | Song Title: Roam | Album Title: Cosmic Thing (30th Anniversary Expanded Edition) | Artist Name 1: The B-52's ; Title: Roam | Original Artist Col: The B-52's Cosmic Thing (30th Anniversary Expanded Edition) | Album Col: nan | Duration: 4:55,,,,,Yes,,,,,,,,,,,,,,,,,,,
active_only,run || collective soul || live || 4:50,1946,Run (Live),Run (Live),Collective Soul,Live (Playlist: Q),4:50,"October 27, 2019",2019.0,,No,,,"music library songs.csv, YouTube and YouTube Music/music-library-songs/music-library-songs.csv, YouTube and YouTube Music\playlists\October 27, 2019.csv, YouTube and YouTube Music\playlists\Q.csv",,"Video ID: dICi9-f8M2s | Song Title: Run (Live) | Album Title: Live | Artist Name 1: Collective Soul ; Song URL: https://music.youtube.com/watch?v=dICi9-f8M2s | Song Title: Run (Live) | Album Title: Live | Artist Names: Collective Soul ; Playlist: October 27, 2019 | Video Id: dICi9-f8M2s | Time Added: 2019-10-28 13:15:46 UTC ; Playlist: Q | Video Id: dICi9-f8M2s | Time Added: 2019-04-27 10:01:52 UTC",,,,,Yes,,,5xjAQfzYsEXabVoIvebzkP,3HxX5qcaz2phmsJVPskugD,60,,,,,ef85bbaf-d504-401c-9ff2-ab0f53814ece,94,B Major,High,Not Danceable,Electronic,,Melancholic,,
active_only,shaut zerk || stervhia || breathe remains ep || ,7119,Shäut zerk (Demo version),Shäut zerk (Demo version),Stervhïa,Breathe remains EP,,Trip-Hop,2006,,No,,,"trip hop songhs long lis2t.txt, drive-download-20260627T091940Z-3-001\TRIP-HOP SONGS GOOD LIST.doc.docx, drive-download-20260627T091940Z-3-001\triphopsonghslonglist.txt.html",,"Stervhïa"", ""Shäut zerk (Demo version)"", """"Trip-Hop ; Stervhïa,Shäut zerk (Demo version) | 1 ; Stervhïa"",""Shäut zerk (Demo version)",,,,Yes,,,,,,,,,,,,,,,,,,,,
active_only,shout at devil || motley crue || shout at devil || 3:14,9212,Shout at the Devil,Shout at the Devil,Mötley Crüe,Shout At The Devil,3:14,,1983,,No,,,songtrash_song_inventory.md,,Title: Shout at the Devil | Artist: Mötley Crüe | Source: songtrash_song_inventory.md,,,,,Yes,,,,,,,,,,,,,,,,,,,
active_only,smokin || boston || boston || 4:21,9085,Smokin',Smokin',Boston,Boston,4:21,,1976,,No,,,songtrash_song_inventory.md,,Title: Smokin' | Artist: Boston | Source: songtrash_song_inventory.md,,,,,Yes,,,,5u5qlnyVaewWugJIjzilIc,65,,,,,0d4751f8-c141-47dc-8263-2b28257726f8,184.6,A Minor,High,Not Danceable,Electronic,,Intense,,
active_only,staring at sun || u2 || pop || 4:36,8619,Staring At The Sun,Staring At The Sun,U2,Pop (Playlist: U2),4:36,CareNow_,2019.0,,No,,,"music library songs.csv, YouTube and YouTube Music/music-library-songs/music-library-songs.csv, YouTube and YouTube Music\playlists\CareNow_.csv, YouTube and YouTube Music\playlists\October 27, 2019.csv, YouTube and YouTube Music\playlists\U2.csv",,"Video ID: q4Gr8Lf2Bzo | Song Title: Staring At The Sun | Album Title: Pop | Artist Name 1: U2 ; Song URL: https://music.youtube.com/watch?v=q4Gr8Lf2Bzo | Song Title: Staring At The Sun | Album Title: Pop | Artist Names: U2 ; Playlist: CareNow_ | Video Id: q4Gr8Lf2Bzo | Time Added: 2019-04-17 13:57:57 UTC ; Playlist: October 27, 2019 | Video Id: q4Gr8Lf2Bzo | Time Added: 2019-10-28 13:17:25 UTC ; Playlist: U2 | Video Id: q4Gr8Lf2Bzo | Time Added: 2018-04-28 08:37:15 UTC",,,,,Yes,,,,,,,,,,,,,,,,,,,
active_only,strong || 34 london grammar ||  || ,9387,Strong,Strong,🌧️ 34. London Grammar,,,,,,No,,,songtrash_song_inventory.md,,Title: Strong | Artist: 🌧️ 34. London Grammar | Source: songtrash_song_inventory.md,,,,,,,,,,,,,,,,,,,,,,,,
active_only,sun always shines on tv || a ha || hunting high and low || 5:02,9078,The Sun Always Shines on TV,The Sun Always Shines on TV,a-ha,Hunting High and Low,5:02,,1985,,No,,,songtrash_song_inventory.md,,Title: The Sun Always Shines on TV | Artist: a-ha | Source: songtrash_song_inventory.md,,,,,Yes,,,,0HoaLXRp7jJtdQFunUyUGc,71,,,,,9efc9217-d8cc-4f3b-b019-4a53a81e37b0,126.3,A Minor,High,Danceable,Electronic,,Party,,
