Recording ID,Song ID,Main DB CSV Line,Title,Canonical Title,Version,Artist,Original Artist,Covering Artist,Cover Song,Album,Alternate Albums,Release Year,Duration,Duration ms,Genre,Genre Detail,BPM,BPM Source,Key,Key Source,Scale,Time Signature,Tuning,Capo,Guitar Difficulty,Bass Difficulty,Drum Difficulty,Vocal Range,Instrumentation,Main Riff/Hook,Solo,Arrangement Notes,Mood Tags,Event Tags,Situation Tags,Setlist Role,Crowd Energy,Danceability,Vocal Type,Explicit/Lyric Risk,Playlists,Source Files,Spotify Track ID,Legacy Spotify ID,Spotify ISRC,Spotify Popularity,Spotify Verified,Spotify Match Method,Spotify Match Score,MusicBrainz Recording ID,MusicBrainz Verified,Discogs Verified,iTunes Verified,SecondHandSongs Search URL,SecondHandSongs Verified URL,SecondHandSongs Link Status,WhoSampled Search URL,WhoSampled Verified URL,WhoSampled Link Status,Ultimate Guitar Search URL,Ultimate Guitar Official Tab URL,Ultimate Guitar Best Tab URL,Ultimate Guitar Tab Preference,Ultimate Guitar Tab Status,Duplicate Merge Notes,Data Quality Notes
R34E8288BD52E,SD04AAA5D5400,1053,Aural vampire - Darkwave surfer,Aural vampire - Darkwave surfer,studio/original unless noted,Becky Stone,,,No,Kerguelen Vortex,,2011.0,4:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",,,,,,,,,,,,https://www.google.com/search?q=site%3Asecondhandsongs.com+Aural+vampire+-+Darkwave+surfer+Becky+Stone,,search_link_generated,https://www.google.com/search?q=site%3Awhosampled.com+Aural+vampire+-+Darkwave+surfer+Becky+Stone,,search_link_generated,https://www.ultimate-guitar.com/search.php?search_type=title&value=Aural+vampire+-+Darkwave+surfer+Becky+Stone,,,official_tab_then_most_popular,search_link_generated,,
R3C99D3C52014,S8C45312E3BB9,9680,DON'T LET ME BE MISUNDERSTOOD,Don'T Let Me Be Misunderstood,studio/original unless noted,Santa Esmeralda,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual Addition,,,,,,,,,,,,,,,,,,,,,,,,
R3DB5153CBED5,SBE78617200D4,9674,AFTERNOON DELIGHT,Afternoon Delight,studio/original unless noted,Starland Vocal Band,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual Addition,,,,,,,,,,,,,,,,,,,,,,,,
R454A67C04A2F,S9B5DB32B9F18,9685,I LOVE THE NIGHTLIFE,I Love The Nightlife,studio/original unless noted,Alicia Bridges,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual Addition,,,,,,,,,,,,,,,,,,,,,,,,
R4B86B89FE61B,S5D21993252C9,9705,WEREWOLVES OF LONDON,Werewolves Of London,studio/original unless noted,Warren Zevon,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual Addition,,,,,,,,,,,,,,,,,,,,,,,,
R4D6DF7B0631F,SECE904813EA1,9684,HOUSE OF THE RISING SUN,House Of The Rising Sun,studio/original unless noted,Frijid Pink,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual Addition,,,,,,,,,,,,,,,,,,,,,,,,
R4EE4E6793CC9,S410D0C2D402A,9686,IN THE SUMMERTIME,In The Summertime,studio/original unless noted,Mungo Jerry,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual Addition,,,,,,,,,,,,,,,,,,,,,,,,
R5146FC7679F3,S4F229E07FE40,185,Flight Facilities Ft. Emma Louise - Two Bodies,Flight Facilities,studio/original unless noted,"Ahmed Redha, Emma Louise - Two Bodies",,,No,Dark Side of the Moon,,2014.0,6:08,,Electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,music library songs.csv,,,,,,,,,,,,https://www.google.com/search?q=site%3Asecondhandsongs.com+Flight+Facilities+Ft.+Emma+Louise+-+Two+Bodies+Ahmed+Redha%2C+Emma+Louise+-+Two+Bodies,,search_link_generated,https://www.google.com/search?q=site%3Awhosampled.com+Flight+Facilities+Ft.+Emma+Louise+-+Two+Bodies+Ahmed+Redha%2C+Emma+Louise+-+Two+Bodies,,search_link_generated,https://www.ultimate-guitar.com/search.php?search_type=title&value=Flight+Facilities+Ft.+Emma+Louise+-+Two+Bodies+Ahmed+Redha%2C+Emma+Louise+-+Two+Bodies,,,official_tab_then_most_popular,search_link_generated,,
R5B907041A496,S6526C1BB0A2A,599,Faster Car - Loving Caliber [Aphmau Official],Faster Car - Loving Caliber [Aphmau Official],instrumental,Aphmau,,,No,Chemicals (Instrumental Version),,2017.0,2:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"merged_playlist.csv, YTMusic\1111.csv, YTMusic\liked_music_playlist (3).csv",,,,,,,,,,,,https://www.google.com/search?q=site%3Asecondhandsongs.com+Faster+Car+-+Loving+Caliber+%5BAphmau+Official%5D+Aphmau,,search_link_generated,https://www.google.com/search?q=site%3Awhosampled.com+Faster+Car+-+Loving+Caliber+%5BAphmau+Official%5D+Aphmau,,search_link_generated,https://www.ultimate-guitar.com/search.php?search_type=title&value=Faster+Car+-+Loving+Caliber+%5BAphmau+Official%5D+Aphmau,,,official_tab_then_most_popular,search_link_generated,,
R618E648C5DF8,S8A1E9B16012E,5557,Cinephile - What Becomes Of Us (Nesting Dolls Edit),Cinephile - What Becomes Of Us (Nesting Dolls Edit),studio/original unless noted,NightwolfX19,,,No,Collected Works,,2016.0,4:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",,,,,,,,,,,,https://www.google.com/search?q=site%3Asecondhandsongs.com+Cinephile+-+What+Becomes+Of+Us+%28Nesting+Dolls+Edit%29+NightwolfX19,,search_link_generated,https://www.google.com/search?q=site%3Awhosampled.com+Cinephile+-+What+Becomes+Of+Us+%28Nesting+Dolls+Edit%29+NightwolfX19,,search_link_generated,https://www.ultimate-guitar.com/search.php?search_type=title&value=Cinephile+-+What+Becomes+Of+Us+%28Nesting+Dolls+Edit%29+NightwolfX19,,,official_tab_then_most_popular,search_link_generated,,
