rank,score,old_id,new_id,old_label,new_label
1,0.8309,S00862A8E5645,SACBC51F96979,Without You [Unbelievable Music Video] | Lapalux | Nostalchic | 2013.0,Without You (feat. Kerry Leatham) | Lapalux | Nostalchic | 2013.0
1,0.8704,S1D8A6053AEC9,S43C3FE151CB2,Because You Move Me | Tinlicker - Topic | Because You Move Me | 2017.0,"Because You Move Me | Tinlicker, Helsloot | Because You Move Me | 2017.0"
1,0.9825,S6ED56FDD0B8A,SF07CF1ABB616,Clumsy Feat. Michael Stipe | Stephane Pompougnac |  | ,Clumsy feat. Michael Stipe | Stéphane Pompougnac |  |
1,0.7143,S8A1E9B16012E,S4EFF2A7F27DA,Cinephile - What Becomes Of Us (Nesting Dolls Edit) | NightwolfX19 | Collected Works | 2016.0,What Becomes of Us? (Nesting Dolls Edit) | Cinephile | Collected Works | 2016.0
1,0.7532,SB59CD753BA6A,S27CAC610D7BB,Summer Jam (Video Edit) | R.I.O. feat. U-Jean | Turn This Club Around (Limited Edition) | 2011.0,Summer Jam (Video Edit) [feat. U-Jean] | R.I.O. | Turn This Club Around (Limited Edition) | 2011.0
1,0.8727,SBEA0D88D2E04,SB29C8C8F69AD,Marea (we've lost dancing) | Fred again.. & The Blessed Madonna Actual Life (April 14 - December 17 2020) | Live at Glastonbury 2023: Other Stage | 2020.0,Marea (We've Lost Dancing) | Fred again.. & The Blessed Madonna | Live at Glastonbury 2023: Other Stage | 2020.0
