rank,score,old_id,new_id,old_label,new_label
1,0.7202,R2790098D186D,R2FBF40F92458,Voices | Blundetto - Topic | Bad Bad Things | 3:03,Voices (feat. Hindi Zarha) | Blundetto | Bad Bad Things | 3:03
1,0.7429,R618E648C5DF8,RC8001438B328,Cinephile - What Becomes Of Us (Nesting Dolls Edit) | NightwolfX19 | Collected Works | 4:21,What Becomes of Us? (Nesting Dolls Edit) | Cinephile | Collected Works | 4:21
1,0.8855,R6362791F591D,R3E45CED9EA79,Marea (we've lost dancing) | Fred again.. & The Blessed Madonna Actual Life (April 14 - December 17 2020) | Live at Glastonbury 2023: Other Stage | 4:46,Marea (We've Lost Dancing) | Fred again.. & The Blessed Madonna | Live at Glastonbury 2023: Other Stage | 4:46
1,0.9842,R816AF6C09817,R4CEC369080D7,Clumsy Feat. Michael Stipe | Stephane Pompougnac |  | ,Clumsy feat. Michael Stipe | Stéphane Pompougnac |  |
1,0.7960,RB3A064EA5B1D,R9C3221F9E35D,Eden (Official Video) | Hooverphonic | Blue Wonder Power Milk | 3:36,Eden | Hooverphonic | Blue Wonder Power Milk | 3:36
1,0.8833,RDCF76F602036,R52FAB4F3674A,Because You Move Me | Tinlicker - Topic | Because You Move Me | 3:17,"Because You Move Me | Tinlicker, Helsloot | Because You Move Me | 3:17"
1,0.9090,RDD34966D304F,R2AC5379CE153,Without You (ft. Kerry Leatham) [Unbelievable Music Video] | Lapalux | Nostalchic | 5:26,Without You (feat. Kerry Leatham) | Lapalux | Nostalchic | 5:26
1,0.7779,RE698A7E5FEFA,RFA0429E86F7D,Summer Jam (Video Edit) | R.I.O. feat. U-Jean | Turn This Club Around (Limited Edition) | 3:03,Summer Jam (Video Edit) [feat. U-Jean] | R.I.O. | Turn This Club Around (Limited Edition) | 3:03
